1300000000	-2.79340156	-0.67
1302173913	-2.773807318	-0.69
1304347826	-2.641597558	-0.72
1306521739	-2.644319281	-0.74
1308695652	-2.62302819	-0.77
1310869565	-2.645924487	-0.93
1313043478	-2.797182953	-0.96
1315217391	-3.061823029	-0.99
1317391304	-3.304247437	-1.02
1319565217	-3.38750192	-1.05
1321739130	-3.278150125	-1.27
1323913043	-3.177508897	-1.31
1326086957	-3.134125687	-1.35
1328260870	-3.204374598	-1.40
1330434783	-3.370502527	-1.75
1332608696	-3.562056411	-1.86
1334782609	-3.705952858	-1.98
1336956522	-3.774679071	-2.10
1339130435	-3.790215293	-2.30
1341304348	-3.920576603	-2.45
1343478261	-4.111002828	-2.60
1345652174	-4.312524767	-2.76
1347826087	-4.485094853	-2.92
1350000000	-4.611361689	-3.19
1352173913	-4.70427415	-3.38
1354347826	-4.80705317	-3.58
1356521739	-4.965070651	-3.79
1358695652	-5.211890609	-4.01
1360869565	-5.506458206	-4.25
1363043478	-5.831540929	-4.62
1365217391	-6.148168291	-4.88
1367391304	-6.40935682	-5.15
1369565217	-6.61188731	-5.44
1371739130	-6.792400813	-5.74
1373913043	-7.016887304	-6.06
1376086957	-7.328883766	-6.57
1378260870	-7.702187611	-6.92
1380434783	-8.144933677	-7.69
1382608696	-8.660138057	-7.89
1384782609	-9.244457616	-8.10
1386956522	-9.88128085	-8.53
1389130435	-10.55182013	-9.23
1391304348	-11.23745941	-9.72
1393478261	-11.9108286	-10.23
1395652174	-12.6463286	-10.77
1397826087	-13.44135646	-11.35
1400000000	-14.28377066	-12.27
1402173913	-15.1231957	-12.92
1404347826	-15.91384948	-13.61
1406521739	-16.59788235	-14.35
1408695652	-17.16535521	-15.12
1410869565	-17.84907633	-15.94
1413043478	-18.61417963	-17.25
1415217391	-19.33716358	-18.16
1417391304	-19.78774426	-19.09
1419565217	-19.80236098	-20.01
1421739130	-19.2979595	-20.86
1423913043	-18.44838975	-21.59
1426086957	-17.50481244	-22.24
1428260870	-17.0749731	-22.30
1430434783	-17.01067086	-22.07
1432608696	-17.21887854	-21.61
1434782609	-17.51987244	-21.00
1436956522	-17.64524693	-20.33
1439130435	-17.36245525	-19.29
1441304348	-16.69588483	-18.62
1443478261	-15.9160416	-17.98
1445652174	-15.79171071	-17.39
1447826087	-16.08924714	-16.83
1450000000	-16.60439279	-16.08
1452173913	-16.96870515	-15.62
1454347826	-16.82789182	-15.20
1456521739	-16.23261297	-14.81
1458695652	-15.5243881	-14.46
1460869565	-15.0477664	-14.12
1463043478	-15.46543926	-13.67
1465217391	-16.11367401	-13.39
1467391304	-16.73455589	-13.14
1469565217	-16.97331696	-12.91
1471739130	-16.70026462	-12.69
1473913043	-16.10579308	-12.49
1476086957	-15.51983328	-12.22
1478260870	-15.19717322	-12.06
1480434783	-15.68030254	-11.92
1482608696	-16.23652476	-11.78
1484782609	-16.50429347	-11.66
1486956522	-16.2919761	-11.55
1489130435	-15.73520209	-11.40
1491304348	-15.1681947	-11.32
1493478261	-14.83693244	-11.24
1495652174	-14.8708477	-11.18
1497826087	-15.26610312	-11.12
1500000000	-15.6209017	-11.06
1502173913	-15.81091667	-11.02
1504347826	-15.8436274	-11.00
1506521739	-15.77770033	-10.98
1508695652	-15.73219838	-10.97
1510869565	-15.87439916	-10.97
1513043478	-16.25768181	-10.98
1515217391	-16.73462438	-11.00
1517391304	-16.84365927	-11.02
1519565217	-16.55368418	-11.05
1521739130	-16.04601077	-11.09
1523913043	-15.57450241	-11.14
1526086957	-15.28541914	-11.23
1528260870	-15.26919449	-11.29
1530434783	-15.54091333	-11.36
1532608696	-16.00199488	-11.44
